record_id,date,year,month,day,day_of_year,week_of_year,season,month_sin,month_cos,rainfall_mm,rainfall_intensity,rain_lag1,rain_lag2,rain_lag3,rain_cumul_3day,rain_cumul_5day,rain_cumul_7day,rain_rolling_avg_7d,rain_rolling_avg_30d,rain_exceed_50mm,rain_exceed_100mm,consecutive_rain_days,typhoon_active,typhoon_signal,typhoon_name,typhoon_category,typhoon_max_wind_kph,days_to_typhoon,days_since_typhoon,antecedent_moisture,land_use_code,flood_occurred,flood_depth_m,flood_duration_hrs,flood_severity
51,2020-02-20,2020,2,20,51,8,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,2.4,2.4,0.34,3.51,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
52,2020-02-21,2020,2,21,52,8,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,2.4,0.34,2.32,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
53,2020-02-22,2020,2,22,53,8,0,0.866025,0.5,11.1,3,0.0,0.0,0.0,11.1,11.1,13.5,1.93,1.91,0,0,1,0,0,,0.0,,,,0.07,1,0,,,0
54,2020-02-23,2020,2,23,54,8,0,0.866025,0.5,0.0,0,11.1,0.0,0.0,11.1,11.1,11.1,1.59,1.91,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
55,2020-02-24,2020,2,24,55,9,0,0.866025,0.5,0.0,0,0.0,11.1,0.0,11.1,11.1,11.1,1.59,1.91,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
56,2020-02-25,2020,2,25,56,9,0,0.866025,0.5,0.0,0,0.0,0.0,11.1,0.0,11.1,11.1,1.59,1.74,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
57,2020-02-26,2020,2,26,57,9,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,11.1,11.1,1.59,1.74,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
58,2020-02-27,2020,2,27,58,9,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,11.1,1.59,1.07,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
59,2020-02-28,2020,2,28,59,9,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,11.1,1.59,0.91,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
60,2020-02-29,2020,2,29,60,9,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
61,2020-03-01,2020,3,1,61,9,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
62,2020-03-02,2020,3,2,62,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
63,2020-03-03,2020,3,3,63,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
64,2020-03-04,2020,3,4,64,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
65,2020-03-05,2020,3,5,65,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
66,2020-03-06,2020,3,6,66,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
67,2020-03-07,2020,3,7,67,10,0,1.0,0.0,17.7,3,0.0,0.0,0.0,17.7,17.7,17.7,2.53,1.04,0,0,1,0,0,,0.0,,,,0.08,1,0,,,0
68,2020-03-08,2020,3,8,68,10,0,1.0,0.0,4.2,2,17.7,0.0,0.0,21.9,21.9,21.9,3.13,1.18,0,0,2,0,0,,0.0,,,,0.14,1,0,,,0
69,2020-03-09,2020,3,9,69,11,0,1.0,0.0,0.0,0,4.2,17.7,0.0,21.9,21.9,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0
70,2020-03-10,2020,3,10,70,11,0,1.0,0.0,0.0,0,0.0,4.2,17.7,4.2,21.9,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0
71,2020-03-11,2020,3,11,71,11,0,1.0,0.0,0.0,0,0.0,0.0,4.2,0.0,21.9,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0
72,2020-03-12,2020,3,12,72,11,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.2,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0
73,2020-03-13,2020,3,13,73,11,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0
74,2020-03-14,2020,3,14,74,11,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.2,0.6,1.18,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
75,2020-03-15,2020,3,15,75,11,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
76,2020-03-16,2020,3,16,76,12,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
77,2020-03-17,2020,3,17,77,12,0,1.0,0.0,6.5,2,0.0,0.0,0.0,6.5,6.5,6.5,0.93,1.32,0,0,1,0,0,,0.0,,,,0.06,1,0,,,0
78,2020-03-18,2020,3,18,78,12,0,1.0,0.0,0.0,0,6.5,0.0,0.0,6.5,6.5,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
79,2020-03-19,2020,3,19,79,12,0,1.0,0.0,0.0,0,0.0,6.5,0.0,6.5,6.5,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
80,2020-03-20,2020,3,20,80,12,0,1.0,0.0,0.0,0,0.0,0.0,6.5,0.0,6.5,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
81,2020-03-21,2020,3,21,81,12,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
82,2020-03-22,2020,3,22,82,12,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
83,2020-03-23,2020,3,23,83,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.5,0.93,0.95,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
84,2020-03-24,2020,3,24,84,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
85,2020-03-25,2020,3,25,85,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
86,2020-03-26,2020,3,26,86,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
87,2020-03-27,2020,3,27,87,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
88,2020-03-28,2020,3,28,88,13,0,1.0,0.0,1.6,1,0.0,0.0,0.0,1.6,1.6,1.6,0.23,1.0,0,0,1,0,0,,0.0,,,,0.05,1,0,,,0
89,2020-03-29,2020,3,29,89,13,0,1.0,0.0,0.0,0,1.6,0.0,0.0,1.6,1.6,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
90,2020-03-30,2020,3,30,90,14,0,1.0,0.0,0.0,0,0.0,1.6,0.0,1.6,1.6,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
91,2020-03-31,2020,3,31,91,14,0,1.0,0.0,0.0,0,0.0,0.0,1.6,0.0,1.6,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
92,2020-04-01,2020,4,1,92,14,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,1.6,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
93,2020-04-02,2020,4,2,93,14,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
94,2020-04-03,2020,4,3,94,14,0,0.866025,-0.5,11.3,3,0.0,0.0,0.0,11.3,11.3,12.9,1.84,1.38,0,0,1,0,0,,0.0,,,,0.07,1,0,,,0
95,2020-04-04,2020,4,4,95,14,0,0.866025,-0.5,0.0,0,11.3,0.0,0.0,11.3,11.3,11.3,1.61,1.38,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
96,2020-04-05,2020,4,5,96,14,0,0.866025,-0.5,0.0,0,0.0,11.3,0.0,11.3,11.3,11.3,1.61,1.38,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
97,2020-04-06,2020,4,6,97,15,0,0.866025,-0.5,0.0,0,0.0,0.0,11.3,0.0,11.3,11.3,1.61,0.79,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
98,2020-04-07,2020,4,7,98,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,11.3,11.3,1.61,0.65,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
99,2020-04-08,2020,4,8,99,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,11.3,1.61,0.65,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
100,2020-04-09,2020,4,9,100,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,11.3,1.61,0.65,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
101,2020-04-10,2020,4,10,101,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
102,2020-04-11,2020,4,11,102,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
103,2020-04-12,2020,4,12,103,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
104,2020-04-13,2020,4,13,104,16,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
105,2020-04-14,2020,4,14,105,16,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
106,2020-04-15,2020,4,15,106,16,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
107,2020-04-16,2020,4,16,107,16,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
108,2020-04-17,2020,4,17,108,16,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
109,2020-04-18,2020,4,18,109,16,0,0.866025,-0.5,14.5,3,0.0,0.0,0.0,14.5,14.5,14.5,2.07,0.91,0,0,1,0,0,,0.0,,,,0.07,1,0,,,0
110,2020-04-19,2020,4,19,110,16,0,0.866025,-0.5,0.0,0,14.5,0.0,0.0,14.5,14.5,14.5,2.07,0.91,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
111,2020-04-20,2020,4,20,111,17,0,0.866025,-0.5,0.0,0,0.0,14.5,0.0,14.5,14.5,14.5,2.07,0.91,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
112,2020-04-21,2020,4,21,112,17,0,0.866025,-0.5,2.8,2,0.0,0.0,14.5,2.8,17.3,17.3,2.47,1.01,0,0,1,0,0,,0.0,,,,0.08,1,0,,,0
113,2020-04-22,2020,4,22,113,17,0,0.866025,-0.5,0.0,0,2.8,0.0,0.0,2.8,17.3,17.3,2.47,1.01,0,0,0,0,0,,0.0,,,,0.08,1,0,,,0
114,2020-04-23,2020,4,23,114,17,0,0.866025,-0.5,6.5,2,0.0,2.8,0.0,9.3,9.3,23.8,3.4,1.22,0,0,1,0,0,,0.0,,,,0.09,1,0,,,0
115,2020-04-24,2020,4,24,115,17,0,0.866025,-0.5,2.8,2,6.5,0.0,2.8,9.3,12.1,26.6,3.8,1.32,0,0,2,0,0,,0.0,,,,0.15,1,0,,,0
116,2020-04-25,2020,4,25,116,17,0,0.866025,-0.5,0.0,0,2.8,6.5,0.0,9.3,12.1,12.1,1.73,1.32,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
117,2020-04-26,2020,4,26,117,17,0,0.866025,-0.5,32.2,3,0.0,2.8,6.5,35.0,41.5,44.3,6.33,2.39,0,0,1,0,0,,0.0,,,,0.13,1,0,,,0
118,2020-04-27,2020,4,27,118,18,0,0.866025,-0.5,0.0,0,32.2,0.0,2.8,32.2,41.5,44.3,6.33,2.34,0,0,0,0,0,,0.0,,,,0.13,1,0,,,0
119,2020-04-28,2020,4,28,119,18,0,0.866025,-0.5,0.0,0,0.0,32.2,0.0,32.2,35.0,41.5,5.93,2.34,0,0,0,0,0,,0.0,,,,0.12,1,0,,,0
120,2020-04-29,2020,4,29,120,18,0,0.866025,-0.5,0.0,0,0.0,0.0,32.2,0.0,32.2,41.5,5.93,2.34,0,0,0,0,0,,0.0,,,,0.12,1,0,,,0
121,2020-04-30,2020,4,30,121,18,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,32.2,35.0,5.0,2.34,0,0,0,0,0,,0.0,,,,0.11,1,0,,,0
122,2020-05-01,2020,5,1,122,18,0,0.5,-0.866025,17.7,3,0.0,0.0,0.0,17.7,17.7,49.9,7.13,2.93,0,0,1,0,0,,0.0,,,,0.14,1,0,,,0
123,2020-05-02,2020,5,2,123,18,0,0.5,-0.866025,0.0,0,17.7,0.0,0.0,17.7,17.7,49.9,7.13,2.93,0,0,0,0,0,,0.0,,,,0.14,1,0,,,0
124,2020-05-03,2020,5,3,124,18,0,0.5,-0.866025,0.0,0,0.0,17.7,0.0,17.7,17.7,17.7,2.53,2.55,0,0,0,0,0,,0.0,,,,0.08,1,0,,,0
125,2020-05-04,2020,5,4,125,19,0,0.5,-0.866025,36.1,3,0.0,0.0,17.7,36.1,53.8,53.8,7.69,3.75,0,0,1,0,0,,0.0,,,,0.14,1,0,,,0
126,2020-05-05,2020,5,5,126,19,0,0.5,-0.866025,0.0,0,36.1,0.0,0.0,36.1,53.8,53.8,7.69,3.75,0,0,0,0,0,,0.0,,,,0.14,1,0,,,0
127,2020-05-06,2020,5,6,127,19,0,0.5,-0.866025,0.0,0,0.0,36.1,0.0,36.1,36.1,53.8,7.69,3.75,0,0,0,0,0,,0.0,,,,0.14,1,0,,,0
128,2020-05-07,2020,5,7,128,19,0,0.5,-0.866025,22.6,3,0.0,0.0,36.1,22.6,58.7,76.4,10.91,4.51,0,0,1,0,0,,0.0,,,,0.18,1,0,,,0
129,2020-05-08,2020,5,8,129,19,0,0.5,-0.866025,0.0,0,22.6,0.0,0.0,22.6,58.7,58.7,8.39,4.51,0,0,0,0,0,,0.0,,,,0.15,1,0,,,0
130,2020-05-09,2020,5,9,130,19,0,0.5,-0.866025,0.0,0,0.0,22.6,0.0,22.6,22.6,58.7,8.39,4.51,0,0,0,0,0,,0.0,,,,0.15,1,0,,,0
131,2020-05-10,2020,5,10,131,19,0,0.5,-0.866025,0.0,0,0.0,0.0,22.6,0.0,22.6,58.7,8.39,4.51,0,0,0,0,0,,0.0,,,,0.15,1,0,,,0
132,2020-05-11,2020,5,11,132,20,0,0.5,-0.866025,0.0,0,0.0,0.0,0.0,0.0,22.6,22.6,3.23,4.51,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0
133,2020-05-12,2020,5,12,133,20,0,0.5,-0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,22.6,3.23,4.51,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0
134,2020-05-13,2020,5,13,134,20,0,0.5,-0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,22.6,3.23,4.51,0,0,0,0,0,,0.0,,,,0.09,1,1,0.5,5.0,1
135,2020-05-14,2020,5,14,135,20,0,0.5,-0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
