record_id,date,year,month,day,day_of_year,week_of_year,season,month_sin,month_cos,rainfall_mm,rainfall_intensity,rain_lag1,rain_lag2,rain_lag3,rain_cumul_3day,rain_cumul_5day,rain_cumul_7day,rain_rolling_avg_7d,rain_rolling_avg_30d,rain_exceed_50mm,rain_exceed_100mm,consecutive_rain_days,typhoon_active,typhoon_signal,typhoon_name,typhoon_category,typhoon_max_wind_kph,days_to_typhoon,days_since_typhoon,antecedent_moisture,land_use_code,flood_occurred,flood_depth_m,flood_duration_hrs,flood_severity,soil_moisture_mean,pressure_msl_mean,surface_pressure_mean,wind_gusts_10m_max
19,2020-01-19,2020,1,19,19,3,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,8.5,1.21,4.97,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.33593055555555557,1013.875,1013.275,33.1
20,2020-01-20,2020,1,20,20,4,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.3285277777777778,1015.5749999999999,1014.975,32.0
21,2020-01-21,2020,1,21,21,4,0,0.5,0.866025,8.5,3,0.0,0.0,0.0,8.5,8.5,8.5,1.21,4.9,0,0,1,0,0,,0.0,,,,0.06,1,0,,,0,0.3209444444444444,1017.5416666666666,1016.9416666666666,35.6
22,2020-01-22,2020,1,22,22,4,0,0.5,0.866025,35.7,3,8.5,0.0,0.0,44.2,44.2,44.2,6.31,6.3,0,0,2,0,0,,0.0,,,,0.18,1,0,,,0,0.3106111111111111,1016.6,1016.0,29.9
23,2020-01-23,2020,1,23,23,4,0,0.5,0.866025,23.5,3,35.7,8.5,0.0,67.7,67.7,67.7,9.67,7.05,0,0,3,0,0,,0.0,,,,0.52,1,0,,,0,0.298875,1014.8625000000001,1014.2624999999999,35.3
24,2020-01-24,2020,1,24,24,4,0,0.5,0.866025,0.0,0,23.5,35.7,8.5,59.2,67.7,67.7,9.67,6.75,0,0,0,0,0,,0.0,,,,0.17,1,0,,,0,0.3082361111111111,1013.4916666666667,1012.8916666666668,32.4
25,2020-01-25,2020,1,25,25,4,0,0.5,0.866025,0.0,0,0.0,23.5,35.7,23.5,67.7,67.7,9.67,6.48,0,0,0,0,0,,0.0,,,,0.17,1,0,,,0,0.34298611111111116,1012.1625,1011.5625,27.4
26,2020-01-26,2020,1,26,26,4,0,0.5,0.866025,5.0,2,0.0,0.0,23.5,5.0,64.2,72.7,10.39,6.43,0,0,1,0,0,,0.0,,,,0.17,1,0,,,0,0.3424861111111111,1010.6833333333334,1010.0833333333334,25.6
27,2020-01-27,2020,1,27,27,5,0,0.5,0.866025,0.0,0,5.0,0.0,0.0,5.0,28.5,72.7,10.39,6.19,0,0,0,0,0,,0.0,,,,0.17,1,0,,,0,0.33708333333333335,1010.5833333333334,1009.9833333333332,27.0
28,2020-01-28,2020,1,28,28,5,0,0.5,0.866025,20.1,3,0.0,5.0,0.0,25.1,25.1,84.3,12.04,6.69,0,0,1,0,0,,0.0,,,,0.19,1,0,,,0,0.32740277777777776,1011.1458333333334,1010.5458333333332,21.6
29,2020-01-29,2020,1,29,29,5,0,0.5,0.866025,5.0,2,20.1,0.0,5.0,25.1,30.1,53.6,7.66,6.63,0,0,2,0,0,,0.0,,,,0.19,1,0,,,0,0.3187222222222222,1011.5583333333334,1010.9583333333334,31.3
30,2020-01-30,2020,1,30,30,5,0,0.5,0.866025,0.0,0,5.0,20.1,0.0,25.1,30.1,30.1,4.3,6.41,0,0,0,0,0,,0.0,,,,0.1,1,0,,,0,0.31195833333333334,1011.6166666666667,1011.0166666666668,37.1
31,2020-01-31,2020,1,31,31,5,0,0.5,0.866025,0.0,0,0.0,5.0,20.1,5.0,25.1,30.1,4.3,6.41,0,0,0,0,0,,0.0,,,,0.1,1,0,,,0,0.30568055555555557,1013.8958333333334,1013.2958333333332,46.4
32,2020-02-01,2020,2,1,32,5,0,0.866025,0.5,0.0,0,0.0,0.0,5.0,0.0,25.1,30.1,4.3,5.76,0,0,0,0,0,,0.0,,,,0.1,1,0,,,0,0.2991388888888889,1015.7583333333333,1015.1583333333333,38.9
33,2020-02-02,2020,2,2,33,5,0,0.866025,0.5,3.3,2,0.0,0.0,0.0,3.3,8.3,28.4,4.06,5.87,0,0,1,0,0,,0.0,,,,0.1,1,0,,,0,0.2948611111111111,1016.35,1015.75,40.3
34,2020-02-03,2020,2,3,34,6,0,0.866025,0.5,0.0,0,3.3,0.0,0.0,3.3,3.3,28.4,4.06,5.87,0,0,0,0,0,,0.0,,,,0.1,1,0,,,0,0.28941666666666666,1015.9541666666668,1015.3541666666666,41.0
35,2020-02-04,2020,2,4,35,6,0,0.866025,0.5,10.4,3,0.0,3.3,0.0,13.7,13.7,18.7,2.67,6.21,0,0,1,0,0,,0.0,,,,0.08,1,0,,,0,0.28365277777777775,1014.0708333333333,1013.4708333333333,40.0
36,2020-02-05,2020,2,5,36,6,0,0.866025,0.5,0.0,0,10.4,0.0,3.3,10.4,13.7,13.7,1.96,5.88,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.2760972222222222,1012.5749999999999,1011.975,49.3
37,2020-02-06,2020,2,6,37,6,0,0.866025,0.5,0.0,0,0.0,10.4,0.0,10.4,13.7,13.7,1.96,5.16,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.27316666666666667,1012.8458333333333,1012.2458333333334,45.0
38,2020-02-07,2020,2,7,38,6,0,0.866025,0.5,0.0,0,0.0,0.0,10.4,0.0,10.4,13.7,1.96,5.16,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.28668055555555555,1013.2708333333334,1012.6708333333332,37.1
39,2020-02-08,2020,2,8,39,6,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,10.4,13.7,1.96,4.0,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.30218055555555556,1013.9708333333333,1013.3708333333334,32.0
40,2020-02-09,2020,2,9,40,6,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,10.4,1.49,4.0,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.29975,1015.0375,1014.4375,46.4
41,2020-02-10,2020,2,10,41,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,10.4,1.49,4.0,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.29701388888888886,1016.3958333333334,1015.7958333333332,51.5
42,2020-02-11,2020,2,11,42,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.2857222222222222,1017.5041666666666,1016.9041666666667,42.8
43,2020-02-12,2020,2,12,43,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.2760833333333333,1016.5333333333333,1015.9333333333334,26.3
44,2020-02-13,2020,2,13,44,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.2695,1015.2083333333334,1014.6083333333332,28.8
45,2020-02-14,2020,2,14,45,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.2615972222222222,1013.75,1013.15,39.2
46,2020-02-15,2020,2,15,46,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.2531805555555556,1014.2708333333334,1013.6708333333332,23.4
47,2020-02-16,2020,2,16,47,7,0,0.866025,0.5,2.4,1,0.0,0.0,0.0,2.4,2.4,2.4,0.34,3.8,0,0,1,0,0,,0.0,,,,0.05,1,0,,,0,0.24941666666666662,1014.2125,1013.6125000000001,39.2
48,2020-02-17,2020,2,17,48,8,0,0.866025,0.5,0.0,0,2.4,0.0,0.0,2.4,2.4,2.4,0.34,3.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.242375,1014.8874999999999,1014.2875,49.0
49,2020-02-18,2020,2,18,49,8,0,0.866025,0.5,0.0,0,0.0,2.4,0.0,2.4,2.4,2.4,0.34,3.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.23934722222222224,1015.6875,1015.0875,56.2
50,2020-02-19,2020,2,19,50,8,0,0.866025,0.5,0.0,0,0.0,0.0,2.4,0.0,2.4,2.4,0.34,3.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.23523611111111112,1016.4083333333333,1015.8083333333334,65.9
51,2020-02-20,2020,2,20,51,8,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,2.4,2.4,0.34,3.51,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.23573611111111112,1016.7958333333332,1016.1958333333333,66.6
52,2020-02-21,2020,2,21,52,8,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,2.4,0.34,2.32,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.23177777777777778,1017.2416666666667,1016.6416666666668,55.8
53,2020-02-22,2020,2,22,53,8,0,0.866025,0.5,11.1,3,0.0,0.0,0.0,11.1,11.1,13.5,1.93,1.91,0,0,1,0,0,,0.0,,,,0.07,1,0,,,0,0.22804166666666667,1017.725,1017.125,58.7
54,2020-02-23,2020,2,23,54,8,0,0.866025,0.5,0.0,0,11.1,0.0,0.0,11.1,11.1,11.1,1.59,1.91,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.22594444444444442,1016.1833333333334,1015.5833333333334,43.9
55,2020-02-24,2020,2,24,55,9,0,0.866025,0.5,0.0,0,0.0,11.1,0.0,11.1,11.1,11.1,1.59,1.91,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.22133333333333335,1014.8249999999999,1014.225,43.9
56,2020-02-25,2020,2,25,56,9,0,0.866025,0.5,0.0,0,0.0,0.0,11.1,0.0,11.1,11.1,1.59,1.74,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.21691666666666667,1013.6541666666667,1013.0541666666667,25.9
57,2020-02-26,2020,2,26,57,9,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,11.1,11.1,1.59,1.74,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.2131111111111111,1013.4375,1012.8375,33.5
58,2020-02-27,2020,2,27,58,9,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,11.1,1.59,1.07,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.2101666666666667,1013.2333333333332,1012.6333333333333,42.5
59,2020-02-28,2020,2,28,59,9,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,11.1,1.59,0.91,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.21086111111111114,1013.0041666666666,1012.4041666666667,40.0
60,2020-02-29,2020,2,29,60,9,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.20766666666666667,1012.5708333333333,1011.9708333333333,24.8
61,2020-03-01,2020,3,1,61,9,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.20552777777777778,1012.4333333333334,1011.8333333333334,33.5
62,2020-03-02,2020,3,2,62,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.20179166666666667,1012.8874999999999,1012.2875,33.5
63,2020-03-03,2020,3,3,63,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.19951388888888888,1013.0791666666668,1012.4791666666666,36.4
64,2020-03-04,2020,3,4,64,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.19665277777777776,1012.3208333333333,1011.7208333333333,34.6
65,2020-03-05,2020,3,5,65,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.2026388888888889,1011.75,1011.15,54.4
66,2020-03-06,2020,3,6,66,10,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.25558333333333333,1011.7958333333332,1011.1958333333333,55.8
67,2020-03-07,2020,3,7,67,10,0,1.0,0.0,17.7,3,0.0,0.0,0.0,17.7,17.7,17.7,2.53,1.04,0,0,1,0,0,,0.0,,,,0.08,1,0,,,0,0.3336388888888889,1012.1458333333334,1011.5458333333332,18.0
68,2020-03-08,2020,3,8,68,10,0,1.0,0.0,4.2,2,17.7,0.0,0.0,21.9,21.9,21.9,3.13,1.18,0,0,2,0,0,,0.0,,,,0.14,1,0,,,0,0.33522222222222225,1011.1625,1010.5625,21.6
69,2020-03-09,2020,3,9,69,11,0,1.0,0.0,0.0,0,4.2,17.7,0.0,21.9,21.9,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0,0.3336388888888889,1010.2708333333334,1009.6708333333332,21.2
70,2020-03-10,2020,3,10,70,11,0,1.0,0.0,0.0,0,0.0,4.2,17.7,4.2,21.9,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0,0.31831944444444443,1011.4875000000001,1010.8874999999999,21.6
71,2020-03-11,2020,3,11,71,11,0,1.0,0.0,0.0,0,0.0,0.0,4.2,0.0,21.9,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0,0.30894444444444447,1013.8291666666668,1013.2291666666666,24.5
72,2020-03-12,2020,3,12,72,11,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.2,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0,0.2967638888888889,1014.6875,1014.0875,33.1
73,2020-03-13,2020,3,13,73,11,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.9,3.13,1.18,0,0,0,0,0,,0.0,,,,0.09,1,0,,,0,0.28497222222222224,1015.0416666666666,1014.4416666666666,20.5
74,2020-03-14,2020,3,14,74,11,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.2,0.6,1.18,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.27619444444444446,1012.775,1012.1750000000001,29.2
75,2020-03-15,2020,3,15,75,11,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.26994444444444443,1013.2875,1012.6875,37.1
76,2020-03-16,2020,3,16,76,12,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.2679166666666667,1014.3249999999999,1013.725,34.6
77,2020-03-17,2020,3,17,77,12,0,1.0,0.0,6.5,2,0.0,0.0,0.0,6.5,6.5,6.5,0.93,1.32,0,0,1,0,0,,0.0,,,,0.06,1,0,,,0,0.2890277777777778,1015.0666666666666,1014.4666666666667,31.7
78,2020-03-18,2020,3,18,78,12,0,1.0,0.0,0.0,0,6.5,0.0,0.0,6.5,6.5,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.27944444444444444,1013.7458333333334,1013.1458333333334,37.8
79,2020-03-19,2020,3,19,79,12,0,1.0,0.0,0.0,0,0.0,6.5,0.0,6.5,6.5,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.2734583333333333,1013.1,1012.5,34.2
80,2020-03-20,2020,3,20,80,12,0,1.0,0.0,0.0,0,0.0,0.0,6.5,0.0,6.5,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.2670138888888889,1013.1583333333333,1012.5583333333334,29.5
81,2020-03-21,2020,3,21,81,12,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.2612361111111111,1013.5,1012.9,31.7
82,2020-03-22,2020,3,22,82,12,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.5,0.93,1.32,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.2577361111111111,1012.775,1012.1750000000001,25.9
83,2020-03-23,2020,3,23,83,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.5,0.93,0.95,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.24819444444444447,1012.125,1011.525,29.9
84,2020-03-24,2020,3,24,84,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.23856944444444442,1011.625,1011.025,20.9
85,2020-03-25,2020,3,25,85,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.22799999999999998,1011.6791666666667,1011.0791666666668,27.7
86,2020-03-26,2020,3,26,86,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.21794444444444447,1012.4333333333334,1011.8333333333334,26.3
87,2020-03-27,2020,3,27,87,13,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.21008333333333332,1012.2208333333333,1011.6208333333334,27.0
88,2020-03-28,2020,3,28,88,13,0,1.0,0.0,1.6,1,0.0,0.0,0.0,1.6,1.6,1.6,0.23,1.0,0,0,1,0,0,,0.0,,,,0.05,1,0,,,0,0.20529166666666665,1011.3333333333334,1010.7333333333332,25.9
89,2020-03-29,2020,3,29,89,13,0,1.0,0.0,0.0,0,1.6,0.0,0.0,1.6,1.6,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.20006944444444444,1011.0958333333333,1010.4958333333334,32.4
90,2020-03-30,2020,3,30,90,14,0,1.0,0.0,0.0,0,0.0,1.6,0.0,1.6,1.6,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.19447222222222224,1011.0375,1010.4375,31.7
91,2020-03-31,2020,3,31,91,14,0,1.0,0.0,0.0,0,0.0,0.0,1.6,0.0,1.6,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.19156944444444443,1011.7541666666666,1011.1541666666667,27.4
92,2020-04-01,2020,4,1,92,14,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,1.6,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.19380555555555554,1011.8458333333333,1011.2458333333334,24.1
93,2020-04-02,2020,4,2,93,14,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,1.6,0.23,1.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.19554166666666664,1013.1625,1012.5625,26.6
94,2020-04-03,2020,4,3,94,14,0,0.866025,-0.5,11.3,3,0.0,0.0,0.0,11.3,11.3,12.9,1.84,1.38,0,0,1,0,0,,0.0,,,,0.07,1,0,,,0,0.1893611111111111,1013.1208333333334,1012.5208333333334,34.9
95,2020-04-04,2020,4,4,95,14,0,0.866025,-0.5,0.0,0,11.3,0.0,0.0,11.3,11.3,11.3,1.61,1.38,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.18823611111111108,1012.9958333333334,1012.3958333333334,49.0
96,2020-04-05,2020,4,5,96,14,0,0.866025,-0.5,0.0,0,0.0,11.3,0.0,11.3,11.3,11.3,1.61,1.38,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.18399999999999997,1012.7791666666667,1012.1791666666667,38.9
97,2020-04-06,2020,4,6,97,15,0,0.866025,-0.5,0.0,0,0.0,0.0,11.3,0.0,11.3,11.3,1.61,0.79,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.17801388888888892,1011.9125,1011.3125,25.6
98,2020-04-07,2020,4,7,98,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,11.3,11.3,1.61,0.65,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.17434722222222224,1010.7333333333332,1010.1333333333333,19.8
99,2020-04-08,2020,4,8,99,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,11.3,1.61,0.65,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.171,1011.25,1010.65,34.9
100,2020-04-09,2020,4,9,100,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,11.3,1.61,0.65,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0,0.16677777777777777,1012.8625000000001,1012.2624999999999,36.7
101,2020-04-10,2020,4,10,101,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.1649861111111111,1013.6458333333334,1013.0458333333332,40.3
102,2020-04-11,2020,4,11,102,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.1662638888888889,1012.4125,1011.8125,29.9
103,2020-04-12,2020,4,12,103,15,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.1705,1011.0333333333333,1010.4333333333334,23.8
104,2020-04-13,2020,4,13,104,16,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.17690277777777777,1011.0791666666668,1010.4791666666666,33.5
105,2020-04-14,2020,4,14,105,16,0,0.866025,-0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.1823611111111111,1012.5375,1011.9375,28.4
